fid, lbr_frc_stat, gccsa_name_2016, state_code_2016, state_name_2016, p, gccsa_code_2016
4,Not in the Labour Force,Greater Sydney,1,New South Wales,1438000,1GSYD
8,Not in the Labour Force,Greater Melbourne,2,Victoria,1431100,2GMEL
12,Not in the Labour Force,Greater Brisbane,3,Queensland,695800,3GBRI
16,Not in the Labour Force,Greater Adelaide,4,South Australia,417600,4GADE
20,Not in the Labour Force,Greater Perth,5,Western Australia,557000,5GPER
