fid, sa4_code_2016, age_grp, sa4_name_2016, pop, pop_distribution, state_name_abbr
5,102,55 to 64,Central Coast,46100,16.39999962,NSW
11,115,55 to 64,Sydney - Baulkham Hills and Hawkesbury,28700,13.80000019,NSW
17,116,55 to 64,Sydney - Blacktown,36500,12.10000038,NSW
23,117,55 to 64,Sydney - City and Inner South,35200,10.5,NSW
29,118,55 to 64,Sydney - Eastern Suburbs,31600,12.60000038,NSW
35,119,55 to 64,Sydney - Inner South West,73600,14.30000019,NSW
41,120,55 to 64,Sydney - Inner West,34500,12.5,NSW
47,121,55 to 64,Sydney - North Sydney and Hornsby,51600,14.30000019,NSW
53,122,55 to 64,Sydney - Northern Beaches,32000,14.5,NSW
59,123,55 to 64,Sydney - Outer South West,33700,14.60000038,NSW
65,124,55 to 64,Sydney - Outer West and Blue Mountains,37800,14.30000019,NSW
71,125,55 to 64,Sydney - Parramatta,44500,10.89999962,NSW
77,126,55 to 64,Sydney - Ryde,22800,13.10000038,NSW
83,127,55 to 64,Sydney - South West,46400,12.60000038,NSW
89,128,55 to 64,Sydney - Sutherland,27500,14.60000038,NSW
95,101,55 to 64,Capital Region,31100,16.29999924,NSW
101,103,55 to 64,Central West,32700,19.20000076,NSW
107,104,55 to 64,Coffs Harbour - Grafton,18700,16.10000038,NSW
113,105,55 to 64,Far West and Orana,14200,15.60000038,NSW
119,106,55 to 64,Hunter Valley exc Newcastle,34600,15.19999981,NSW
125,107,55 to 64,Illawarra,42100,16.20000076,NSW
131,108,55 to 64,Mid North Coast,36000,19.20000076,NSW
137,109,55 to 64,Murray,15400,15.5,NSW
143,110,55 to 64,New England and North West,26400,17.79999924,NSW
149,111,55 to 64,Newcastle and Lake Macquarie,46900,15,NSW
155,112,55 to 64,Richmond - Tweed,29600,14,NSW
161,113,55 to 64,Riverina,22400,17.60000038,NSW
167,114,55 to 64,Southern Highlands and Shoalhaven,22700,17.29999924,NSW
173,206,55 to 64,Melbourne - Inner,67400,10.69999981,VIC
179,207,55 to 64,Melbourne - Inner East,55100,16.60000038,VIC
185,208,55 to 64,Melbourne - Inner South,53300,14.5,VIC
191,209,55 to 64,Melbourne - North East,55100,12.10000038,VIC
197,210,55 to 64,Melbourne - North West,48300,14.19999981,VIC
203,211,55 to 64,Melbourne - Outer East,60700,14.10000038,VIC
209,212,55 to 64,Melbourne - South East,87400,12.39999962,VIC
215,213,55 to 64,Melbourne - West,76600,11.30000019,VIC
221,214,55 to 64,Mornington Peninsula,39900,15.89999962,VIC
227,201,55 to 64,Ballarat,21800,15.89999962,VIC
233,202,55 to 64,Bendigo,22200,16.70000076,VIC
239,203,55 to 64,Geelong,45300,17.5,VIC
245,204,55 to 64,Hume,26700,18.5,VIC
251,205,55 to 64,Latrobe - Gippsland,36100,15.30000019,VIC
257,215,55 to 64,North West,19200,15.80000019,VIC
263,216,55 to 64,Shepparton,14100,13.10000038,VIC
269,217,55 to 64,Warrnambool and South West,19300,19,VIC
275,301,55 to 64,Brisbane - East,39200,19.89999962,QLD
281,302,55 to 64,Brisbane - North,26500,14.19999981,QLD
287,303,55 to 64,Brisbane - South,38100,12.10000038,QLD
293,304,55 to 64,Brisbane - West,19400,12.39999962,QLD
299,305,55 to 64,Brisbane Inner City,27100,10.30000019,QLD
305,310,55 to 64,Ipswich,34800,12,QLD
311,311,55 to 64,Logan - Beaudesert,37900,13.60000038,QLD
317,313,55 to 64,Moreton Bay - North,32900,15.30000019,QLD
323,314,55 to 64,Moreton Bay - South,23100,13.10000038,QLD
329,306,55 to 64,Cairns,33900,16.5,QLD
335,307,55 to 64,Darling Downs - Maranoa,16600,16.39999962,QLD
341,308,55 to 64,Central Queensland,30400,17,QLD
347,309,55 to 64,Gold Coast,71200,13.10000038,QLD
353,312,55 to 64,Mackay - Isaac - Whitsunday,23100,16.60000038,QLD
359,315,55 to 64,Queensland - Outback,8200,13.10000038,QLD
365,316,55 to 64,Sunshine Coast,54200,16.5,QLD
371,317,55 to 64,Toowoomba,17700,13.80000019,QLD
377,318,55 to 64,Townsville,30700,16.39999962,QLD
383,319,55 to 64,Wide Bay,46800,18.60000038,QLD
389,401,55 to 64,Adelaide - Central and Hills,36800,14.10000038,SA
395,402,55 to 64,Adelaide - North,47300,13.19999981,SA
401,403,55 to 64,Adelaide - South,51900,16.70000076,SA
407,404,55 to 64,Adelaide - West,30900,15,SA
413,405,55 to 64,Barossa - Yorke - Mid North,16600,17.5,SA
419,406,55 to 64,South Australia - Outback,12400,18.5,SA
425,407,55 to 64,South Australia - South East,27700,17,SA
431,502,55 to 64,Mandurah,14700,16.89999962,WA
437,503,55 to 64,Perth - Inner,20000,12.5,WA
443,504,55 to 64,Perth - North East,30700,13.69999981,WA
449,505,55 to 64,Perth - North West,69900,14.89999962,WA
455,506,55 to 64,Perth - South East,55300,12.80000019,WA
461,507,55 to 64,Perth - South West,49800,13.89999962,WA
467,501,55 to 64,Bunbury,22700,15.19999981,WA
473,509,55 to 64,Western Australia - Wheat Belt,21900,19.60000038,WA
479,601,55 to 64,Hobart,30300,15.39999962,TAS
485,602,55 to 64,Launceston and North East,21000,17.10000038,TAS
491,603,55 to 64,South East,7200,21.10000038,TAS
497,604,55 to 64,West and North West,15700,16.70000076,TAS
503,701,55 to 64,Darwin,15800,13.89999962,NT
509,702,55 to 64,Northern Territory - Outback,10100,13.30000019,NT
