Sydney,14221
Melbourne,14527
Perth,13619
Brisbane,15013
Adelaide,14063
Ballarat,56
bunbury,1720
Central Coast,15778
Darwin,6633
Darwin,3033
Riverina,1994
Sunshine Coast,14011
Townsville,49
