fid, lbr_frc_stat, gccsa_name_2016, state_code_2016, state_name_2016, p, sa4_code_2016, sa4_name_2016, gccsa_code_2016
2,Employed Part-Time,Rest of NSW,1,New South Wales,34000,101,Capital Region,1RNSW
6,Employed Part-Time,Greater Sydney,1,New South Wales,55700,102,Central Coast,1GSYD
10,Employed Part-Time,Rest of NSW,1,New South Wales,34100,103,Central West,1RNSW
14,Employed Part-Time,Rest of NSW,1,New South Wales,17600,104,Coffs Harbour - Grafton,1RNSW
18,Employed Part-Time,Rest of NSW,1,New South Wales,16000,105,Far West and Orana,1RNSW
22,Employed Part-Time,Rest of NSW,1,New South Wales,42600,106,Hunter Valley exc Newcastle,1RNSW
26,Employed Part-Time,Rest of NSW,1,New South Wales,56900,107,Illawarra,1RNSW
30,Employed Part-Time,Rest of NSW,1,New South Wales,34400,108,Mid North Coast,1RNSW
34,Employed Part-Time,Rest of NSW,1,New South Wales,20200,109,Murray,1RNSW
38,Employed Part-Time,Rest of NSW,1,New South Wales,24300,110,New England and North West,1RNSW
42,Employed Part-Time,Rest of NSW,1,New South Wales,57000,111,Newcastle and Lake Macquarie,1RNSW
46,Employed Part-Time,Rest of NSW,1,New South Wales,46900,112,Richmond - Tweed,1RNSW
50,Employed Part-Time,Rest of NSW,1,New South Wales,23600,113,Riverina,1RNSW
54,Employed Part-Time,Rest of NSW,1,New South Wales,22700,114,Southern Highlands and Shoalhaven,1RNSW
58,Employed Part-Time,Greater Sydney,1,New South Wales,37300,115,Sydney - Baulkham Hills and Hawkesbury,1GSYD
62,Employed Part-Time,Greater Sydney,1,New South Wales,50000,116,Sydney - Blacktown,1GSYD
66,Employed Part-Time,Greater Sydney,1,New South Wales,54100,117,Sydney - City and Inner South,1GSYD
70,Employed Part-Time,Greater Sydney,1,New South Wales,44300,118,Sydney - Eastern Suburbs,1GSYD
74,Employed Part-Time,Greater Sydney,1,New South Wales,85900,119,Sydney - Inner South West,1GSYD
78,Employed Part-Time,Greater Sydney,1,New South Wales,51800,120,Sydney - Inner West,1GSYD
82,Employed Part-Time,Greater Sydney,1,New South Wales,67800,121,Sydney - North Sydney and Hornsby,1GSYD
86,Employed Part-Time,Greater Sydney,1,New South Wales,44700,122,Sydney - Northern Beaches,1GSYD
90,Employed Part-Time,Greater Sydney,1,New South Wales,40900,123,Sydney - Outer South West,1GSYD
94,Employed Part-Time,Greater Sydney,1,New South Wales,50700,124,Sydney - Outer West and Blue Mountains,1GSYD
98,Employed Part-Time,Greater Sydney,1,New South Wales,66000,125,Sydney - Parramatta,1GSYD
102,Employed Part-Time,Greater Sydney,1,New South Wales,35000,126,Sydney - Ryde,1GSYD
106,Employed Part-Time,Greater Sydney,1,New South Wales,55400,127,Sydney - South West,1GSYD
110,Employed Part-Time,Greater Sydney,1,New South Wales,35900,128,Sydney - Sutherland,1GSYD
114,Employed Part-Time,Rest of Vic.,2,Victoria,29100,201,Ballarat,2RVIC
118,Employed Part-Time,Rest of Vic.,2,Victoria,27600,202,Bendigo,2RVIC
122,Employed Part-Time,Rest of Vic.,2,Victoria,59000,203,Geelong,2RVIC
126,Employed Part-Time,Rest of Vic.,2,Victoria,36100,204,Hume,2RVIC
130,Employed Part-Time,Rest of Vic.,2,Victoria,44000,205,Latrobe - Gippsland,2RVIC
134,Employed Part-Time,Greater Melbourne,2,Victoria,115400,206,Melbourne - Inner,2GMEL
138,Employed Part-Time,Greater Melbourne,2,Victoria,71700,207,Melbourne - Inner East,2GMEL
142,Employed Part-Time,Greater Melbourne,2,Victoria,72300,208,Melbourne - Inner South,2GMEL
146,Employed Part-Time,Greater Melbourne,2,Victoria,89000,209,Melbourne - North East,2GMEL
150,Employed Part-Time,Greater Melbourne,2,Victoria,63700,210,Melbourne - North West,2GMEL
154,Employed Part-Time,Greater Melbourne,2,Victoria,89100,211,Melbourne - Outer East,2GMEL
158,Employed Part-Time,Greater Melbourne,2,Victoria,127500,212,Melbourne - South East,2GMEL
162,Employed Part-Time,Greater Melbourne,2,Victoria,118400,213,Melbourne - West,2GMEL
166,Employed Part-Time,Greater Melbourne,2,Victoria,53300,214,Mornington Peninsula,2GMEL
170,Employed Part-Time,Rest of Vic.,2,Victoria,23800,215,North West,2RVIC
174,Employed Part-Time,Rest of Vic.,2,Victoria,21600,216,Shepparton,2RVIC
178,Employed Part-Time,Rest of Vic.,2,Victoria,22900,217,Warrnambool and South West,2RVIC
182,Employed Part-Time,Greater Brisbane,3,Queensland,32200,301,Brisbane - East,3GBRI
186,Employed Part-Time,Greater Brisbane,3,Queensland,36600,302,Brisbane - North,3GBRI
190,Employed Part-Time,Greater Brisbane,3,Queensland,62600,303,Brisbane - South,3GBRI
194,Employed Part-Time,Greater Brisbane,3,Queensland,34700,304,Brisbane - West,3GBRI
198,Employed Part-Time,Rest of Qld,3,Queensland,43200,306,Cairns,3RQLD
202,Employed Part-Time,Rest of Qld,3,Queensland,18100,307,Darling Downs - Maranoa,3RQLD
206,Employed Part-Time,Rest of Qld,3,Queensland,33700,308,Central Queensland,3RQLD
210,Employed Part-Time,Rest of Qld,3,Queensland,111400,309,Gold Coast,3RQLD
214,Employed Part-Time,Greater Brisbane,3,Queensland,54200,310,Ipswich,3GBRI
218,Employed Part-Time,Greater Brisbane,3,Queensland,41400,311,Logan - Beaudesert,3GBRI
222,Employed Part-Time,Rest of Qld,3,Queensland,26700,312,Mackay - Isaac - Whitsunday,3RQLD
