fid, lbr_frc_stat, gccsa_name_2016, state_code_2016, state_name_2016, p, sa4_code_2016, sa4_name_2016, gccsa_code_2016
4,Not in the Labour Force,Rest of NSW,1,New South Wales,68400,101,Capital Region,1RNSW
8,Not in the Labour Force,Greater Sydney,1,New South Wales,114800,102,Central Coast,1GSYD
12,Not in the Labour Force,Rest of NSW,1,New South Wales,54700,103,Central West,1RNSW
16,Not in the Labour Force,Rest of NSW,1,New South Wales,57500,104,Coffs Harbour - Grafton,1RNSW
20,Not in the Labour Force,Rest of NSW,1,New South Wales,36900,105,Far West and Orana,1RNSW
24,Not in the Labour Force,Rest of NSW,1,New South Wales,86900,106,Hunter Valley exc Newcastle,1RNSW
28,Not in the Labour Force,Rest of NSW,1,New South Wales,95400,107,Illawarra,1RNSW
32,Not in the Labour Force,Rest of NSW,1,New South Wales,97600,108,Mid North Coast,1RNSW
36,Not in the Labour Force,Rest of NSW,1,New South Wales,38200,109,Murray,1RNSW
40,Not in the Labour Force,Rest of NSW,1,New South Wales,58200,110,New England and North West,1RNSW
44,Not in the Labour Force,Rest of NSW,1,New South Wales,113300,111,Newcastle and Lake Macquarie,1RNSW
48,Not in the Labour Force,Rest of NSW,1,New South Wales,87600,112,Richmond - Tweed,1RNSW
52,Not in the Labour Force,Rest of NSW,1,New South Wales,42900,113,Riverina,1RNSW
56,Not in the Labour Force,Rest of NSW,1,New South Wales,64400,114,Southern Highlands and Shoalhaven,1RNSW
60,Not in the Labour Force,Greater Sydney,1,New South Wales,61300,115,Sydney - Baulkham Hills and Hawkesbury,1GSYD
64,Not in the Labour Force,Greater Sydney,1,New South Wales,91300,116,Sydney - Blacktown,1GSYD
68,Not in the Labour Force,Greater Sydney,1,New South Wales,84500,117,Sydney - City and Inner South,1GSYD
72,Not in the Labour Force,Greater Sydney,1,New South Wales,69800,118,Sydney - Eastern Suburbs,1GSYD
76,Not in the Labour Force,Greater Sydney,1,New South Wales,192100,119,Sydney - Inner South West,1GSYD
80,Not in the Labour Force,Greater Sydney,1,New South Wales,82200,120,Sydney - Inner West,1GSYD
84,Not in the Labour Force,Greater Sydney,1,New South Wales,110300,121,Sydney - North Sydney and Hornsby,1GSYD
88,Not in the Labour Force,Greater Sydney,1,New South Wales,66200,122,Sydney - Northern Beaches,1GSYD
92,Not in the Labour Force,Greater Sydney,1,New South Wales,74200,123,Sydney - Outer South West,1GSYD
96,Not in the Labour Force,Greater Sydney,1,New South Wales,87100,124,Sydney - Outer West and Blue Mountains,1GSYD
100,Not in the Labour Force,Greater Sydney,1,New South Wales,148100,125,Sydney - Parramatta,1GSYD
104,Not in the Labour Force,Greater Sydney,1,New South Wales,50100,126,Sydney - Ryde,1GSYD
108,Not in the Labour Force,Greater Sydney,1,New South Wales,148900,127,Sydney - South West,1GSYD
112,Not in the Labour Force,Greater Sydney,1,New South Wales,57200,128,Sydney - Sutherland,1GSYD
116,Not in the Labour Force,Rest of Vic.,2,Victoria,52000,201,Ballarat,2RVIC
120,Not in the Labour Force,Rest of Vic.,2,Victoria,53200,202,Bendigo,2RVIC
124,Not in the Labour Force,Rest of Vic.,2,Victoria,92400,203,Geelong,2RVIC
128,Not in the Labour Force,Rest of Vic.,2,Victoria,48500,204,Hume,2RVIC
132,Not in the Labour Force,Rest of Vic.,2,Victoria,103800,205,Latrobe - Gippsland,2RVIC
136,Not in the Labour Force,Greater Melbourne,2,Victoria,168800,206,Melbourne - Inner,2GMEL
140,Not in the Labour Force,Greater Melbourne,2,Victoria,114500,207,Melbourne - Inner East,2GMEL
144,Not in the Labour Force,Greater Melbourne,2,Victoria,127900,208,Melbourne - Inner South,2GMEL
148,Not in the Labour Force,Greater Melbourne,2,Victoria,156100,209,Melbourne - North East,2GMEL
152,Not in the Labour Force,Greater Melbourne,2,Victoria,129900,210,Melbourne - North West,2GMEL
156,Not in the Labour Force,Greater Melbourne,2,Victoria,158200,211,Melbourne - Outer East,2GMEL
160,Not in the Labour Force,Greater Melbourne,2,Victoria,246800,212,Melbourne - South East,2GMEL
164,Not in the Labour Force,Greater Melbourne,2,Victoria,237800,213,Melbourne - West,2GMEL
168,Not in the Labour Force,Greater Melbourne,2,Victoria,91100,214,Mornington Peninsula,2GMEL
172,Not in the Labour Force,Rest of Vic.,2,Victoria,52600,215,North West,2RVIC
176,Not in the Labour Force,Rest of Vic.,2,Victoria,44700,216,Shepparton,2RVIC
180,Not in the Labour Force,Rest of Vic.,2,Victoria,33800,217,Warrnambool and South West,2RVIC
184,Not in the Labour Force,Greater Brisbane,3,Queensland,66400,301,Brisbane - East,3GBRI
188,Not in the Labour Force,Greater Brisbane,3,Queensland,60100,302,Brisbane - North,3GBRI
192,Not in the Labour Force,Greater Brisbane,3,Queensland,101000,303,Brisbane - South,3GBRI
196,Not in the Labour Force,Greater Brisbane,3,Queensland,54500,304,Brisbane - West,3GBRI
