fid, lbr_frc_stat, gccsa_name_2016, state_code_2016, state_name_2016, p, sa4_code_2016, sa4_name_2016, gccsa_code_2016
139,Unemployed Total,Greater Melbourne,2,Victoria,12500,207,Melbourne - Inner East,2GMEL
143,Unemployed Total,Greater Melbourne,2,Victoria,14500,208,Melbourne - Inner South,2GMEL
147,Unemployed Total,Greater Melbourne,2,Victoria,19400,209,Melbourne - North East,2GMEL
151,Unemployed Total,Greater Melbourne,2,Victoria,20300,210,Melbourne - North West,2GMEL
155,Unemployed Total,Greater Melbourne,2,Victoria,15700,211,Melbourne - Outer East,2GMEL
159,Unemployed Total,Greater Melbourne,2,Victoria,33700,212,Melbourne - South East,2GMEL
163,Unemployed Total,Greater Melbourne,2,Victoria,39400,213,Melbourne - West,2GMEL
167,Unemployed Total,Greater Melbourne,2,Victoria,8900,214,Mornington Peninsula,2GMEL
171,Unemployed Total,Rest of Vic.,2,Victoria,2100,215,North West,2RVIC
175,Unemployed Total,Rest of Vic.,2,Victoria,4300,216,Shepparton,2RVIC
179,Unemployed Total,Rest of Vic.,2,Victoria,2100,217,Warrnambool and South West,2RVIC
183,Unemployed Total,Greater Brisbane,3,Queensland,9800,301,Brisbane - East,3GBRI
187,Unemployed Total,Greater Brisbane,3,Queensland,8300,302,Brisbane - North,3GBRI
191,Unemployed Total,Greater Brisbane,3,Queensland,13500,303,Brisbane - South,3GBRI
195,Unemployed Total,Greater Brisbane,3,Queensland,6600,304,Brisbane - West,3GBRI
199,Unemployed Total,Rest of Qld,3,Queensland,8500,306,Cairns,3RQLD
203,Unemployed Total,Rest of Qld,3,Queensland,3100,307,Darling Downs - Maranoa,3RQLD
207,Unemployed Total,Rest of Qld,3,Queensland,7700,308,Central Queensland,3RQLD
211,Unemployed Total,Rest of Qld,3,Queensland,24100,309,Gold Coast,3RQLD
215,Unemployed Total,Greater Brisbane,3,Queensland,16800,310,Ipswich,3GBRI
219,Unemployed Total,Greater Brisbane,3,Queensland,14200,311,Logan - Beaudesert,3GBRI
223,Unemployed Total,Rest of Qld,3,Queensland,5500,312,Mackay - Isaac - Whitsunday,3RQLD
227,Unemployed Total,Greater Brisbane,3,Queensland,9900,313,Moreton Bay - North,3GBRI
231,Unemployed Total,Greater Brisbane,3,Queensland,10200,314,Moreton Bay - South,3GBRI
235,Unemployed Total,Rest of Qld,3,Queensland,5000,315,Queensland - Outback,3RQLD
239,Unemployed Total,Rest of Qld,3,Queensland,13000,316,Sunshine Coast,3RQLD
243,Unemployed Total,Rest of Qld,3,Queensland,4800,317,Toowoomba,3RQLD
247,Unemployed Total,Rest of Qld,3,Queensland,7500,318,Townsville,3RQLD
251,Unemployed Total,Rest of Qld,3,Queensland,14500,319,Wide Bay,3RQLD
255,Unemployed Total,Greater Adelaide,4,South Australia,10000,401,Adelaide - Central and Hills,4GADE
259,Unemployed Total,Greater Adelaide,4,South Australia,17900,402,Adelaide - North,4GADE
263,Unemployed Total,Greater Adelaide,4,South Australia,14100,403,Adelaide - South,4GADE
267,Unemployed Total,Greater Adelaide,4,South Australia,7800,404,Adelaide - West,4GADE
271,Unemployed Total,Rest of SA,4,South Australia,3200,405,Barossa - Yorke - Mid North,4RSAU
275,Unemployed Total,Rest of SA,4,South Australia,3200,406,South Australia - Outback,4RSAU
279,Unemployed Total,Rest of SA,4,South Australia,6500,407,South Australia - South East,4RSAU
283,Unemployed Total,Rest of WA,5,Western Australia,5400,501,Bunbury,5RWAU
287,Unemployed Total,Greater Perth,5,Western Australia,4700,502,Mandurah,5GPER
291,Unemployed Total,Greater Perth,5,Western Australia,4300,503,Perth - Inner,5GPER
295,Unemployed Total,Greater Perth,5,Western Australia,9800,504,Perth - North East,5GPER
299,Unemployed Total,Greater Perth,5,Western Australia,23000,505,Perth - North West,5GPER
303,Unemployed Total,Greater Perth,5,Western Australia,22400,506,Perth - South East,5GPER
307,Unemployed Total,Greater Perth,5,Western Australia,17000,507,Perth - South West,5GPER
311,Unemployed Total,Rest of WA,5,Western Australia,2600,509,Western Australia - Wheat Belt,5RWAU
315,Unemployed Total,Greater Hobart,6,Tasmania,7400,601,Hobart,6GHOB
319,Unemployed Total,Rest of Tas.,6,Tasmania,5200,602,Launceston and North East,6RTAS
323,Unemployed Total,Rest of Tas.,6,Tasmania,1300,603,South East,6RTAS
327,Unemployed Total,Rest of Tas.,6,Tasmania,3600,604,West and North West,6RTAS
331,Unemployed Total,Greater Darwin,7,Northern Territory,5300,701,Darwin,7GDAR
335,Unemployed Total,Rest of NT,7,Northern Territory,2500,702,Northern Territory - Outback,7RNTE
