fid, lbr_frc_stat, gccsa_name_2016, state_code_2016, state_name_2016, p, sa4_code_2016, sa4_name_2016, gccsa_code_2016
3,Unemployed Total,Rest of NSW,1,New South Wales,5200,101,Capital Region,1RNSW
7,Unemployed Total,Greater Sydney,1,New South Wales,9100,102,Central Coast,1GSYD
11,Unemployed Total,Rest of NSW,1,New South Wales,5000,103,Central West,1RNSW
15,Unemployed Total,Rest of NSW,1,New South Wales,4700,104,Coffs Harbour - Grafton,1RNSW
19,Unemployed Total,Rest of NSW,1,New South Wales,1400,105,Far West and Orana,1RNSW
23,Unemployed Total,Rest of NSW,1,New South Wales,8200,106,Hunter Valley exc Newcastle,1RNSW
27,Unemployed Total,Rest of NSW,1,New South Wales,11200,107,Illawarra,1RNSW
31,Unemployed Total,Rest of NSW,1,New South Wales,7100,108,Mid North Coast,1RNSW
35,Unemployed Total,Rest of NSW,1,New South Wales,3000,109,Murray,1RNSW
39,Unemployed Total,Rest of NSW,1,New South Wales,5800,110,New England and North West,1RNSW
43,Unemployed Total,Rest of NSW,1,New South Wales,15300,111,Newcastle and Lake Macquarie,1RNSW
47,Unemployed Total,Rest of NSW,1,New South Wales,6100,112,Richmond - Tweed,1RNSW
51,Unemployed Total,Rest of NSW,1,New South Wales,4200,113,Riverina,1RNSW
55,Unemployed Total,Rest of NSW,1,New South Wales,3100,114,Southern Highlands and Shoalhaven,1RNSW
59,Unemployed Total,Greater Sydney,1,New South Wales,8600,115,Sydney - Baulkham Hills and Hawkesbury,1GSYD
63,Unemployed Total,Greater Sydney,1,New South Wales,14500,116,Sydney - Blacktown,1GSYD
67,Unemployed Total,Greater Sydney,1,New South Wales,17100,117,Sydney - City and Inner South,1GSYD
71,Unemployed Total,Greater Sydney,1,New South Wales,9200,118,Sydney - Eastern Suburbs,1GSYD
75,Unemployed Total,Greater Sydney,1,New South Wales,21200,119,Sydney - Inner South West,1GSYD
79,Unemployed Total,Greater Sydney,1,New South Wales,12700,120,Sydney - Inner West,1GSYD
83,Unemployed Total,Greater Sydney,1,New South Wales,12000,121,Sydney - North Sydney and Hornsby,1GSYD
87,Unemployed Total,Greater Sydney,1,New South Wales,6800,122,Sydney - Northern Beaches,1GSYD
91,Unemployed Total,Greater Sydney,1,New South Wales,9400,123,Sydney - Outer South West,1GSYD
95,Unemployed Total,Greater Sydney,1,New South Wales,9500,124,Sydney - Outer West and Blue Mountains,1GSYD
99,Unemployed Total,Greater Sydney,1,New South Wales,21300,125,Sydney - Parramatta,1GSYD
103,Unemployed Total,Greater Sydney,1,New South Wales,7200,126,Sydney - Ryde,1GSYD
107,Unemployed Total,Greater Sydney,1,New South Wales,18500,127,Sydney - South West,1GSYD
111,Unemployed Total,Greater Sydney,1,New South Wales,4100,128,Sydney - Sutherland,1GSYD
115,Unemployed Total,Rest of Vic.,2,Victoria,5200,201,Ballarat,2RVIC
119,Unemployed Total,Rest of Vic.,2,Victoria,4000,202,Bendigo,2RVIC
123,Unemployed Total,Rest of Vic.,2,Victoria,7300,203,Geelong,2RVIC
127,Unemployed Total,Rest of Vic.,2,Victoria,3200,204,Hume,2RVIC
131,Unemployed Total,Rest of Vic.,2,Victoria,7700,205,Latrobe - Gippsland,2RVIC
135,Unemployed Total,Greater Melbourne,2,Victoria,28200,206,Melbourne - Inner,2GMEL
