fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
3,13600,3100,4100,1,14700,New South Wales,101,15.9,Rest of NSW,17700,1RNSW,Capital Region,Technicians and Trades Workers
11,22700,3500,2200,1,21300,New South Wales,102,15.9,Greater Sydney,24900,1GSYD,Central Coast,Technicians and Trades Workers
19,12600,1400,800,1,12000,New South Wales,103,12.1,Rest of NSW,13400,1RNSW,Central West,Technicians and Trades Workers
27,8800,2100,900,1,7500,New South Wales,104,18.1,Rest of NSW,9600,1RNSW,Coffs Harbour - Grafton,Technicians and Trades Workers
35,6000,1800,2200,1,6400,New South Wales,105,14.9,Rest of NSW,8200,1RNSW,Far West and Orana,Technicians and Trades Workers
43,18300,2100,2600,1,18800,New South Wales,106,16,Rest of NSW,20900,1RNSW,Hunter Valley exc Newcastle,Technicians and Trades Workers
51,20800,4200,3800,1,20400,New South Wales,107,16.2,Rest of NSW,24600,1RNSW,Illawarra,Technicians and Trades Workers
59,12100,4400,3200,1,10900,New South Wales,108,18.2,Rest of NSW,15300,1RNSW,Mid North Coast,Technicians and Trades Workers
67,7500,500,600,1,7600,New South Wales,109,14.5,Rest of NSW,8100,1RNSW,Murray,Technicians and Trades Workers
75,6900,3200,3700,1,7400,New South Wales,110,12.4,Rest of NSW,10600,1RNSW,New England and North West,Technicians and Trades Workers
83,21000,1400,2700,1,22300,New South Wales,111,13,Rest of NSW,23700,1RNSW,Newcastle and Lake Macquarie,Technicians and Trades Workers
91,11500,3300,3100,1,11300,New South Wales,112,12.5,Rest of NSW,14600,1RNSW,Richmond - Tweed,Technicians and Trades Workers
99,9600,1700,2300,1,10200,New South Wales,113,14.8,Rest of NSW,12000,1RNSW,Riverina,Technicians and Trades Workers
107,9100,1600,1600,1,9000,New South Wales,114,17.3,Rest of NSW,10700,1RNSW,Southern Highlands and Shoalhaven,Technicians and Trades Workers
115,15800,3100,2600,1,15300,New South Wales,115,13.9,Greater Sydney,18400,1GSYD,Sydney - Baulkham Hills and Hawkesbury,Technicians and Trades Workers
123,19000,4200,3700,1,18400,New South Wales,116,12,Greater Sydney,22700,1GSYD,Sydney - Blacktown,Technicians and Trades Workers
131,17800,5700,4000,1,16100,New South Wales,117,9.2,Greater Sydney,21900,1GSYD,Sydney - City and Inner South,Technicians and Trades Workers
139,13000,4400,4300,1,12800,New South Wales,118,9.9,Greater Sydney,17200,1GSYD,Sydney - Eastern Suburbs,Technicians and Trades Workers
147,35600,6500,4600,1,33600,New South Wales,119,13.3,Greater Sydney,40100,1GSYD,Sydney - Inner South West,Technicians and Trades Workers
155,13600,4300,4400,1,13600,New South Wales,120,9.7,Greater Sydney,17900,1GSYD,Sydney - Inner West,Technicians and Trades Workers
163,14900,3200,3700,1,15300,New South Wales,121,7.7,Greater Sydney,18500,1GSYD,Sydney - North Sydney and Hornsby,Technicians and Trades Workers
171,17900,2300,2000,1,17500,New South Wales,122,13.3,Greater Sydney,19800,1GSYD,Sydney - Northern Beaches,Technicians and Trades Workers
179,20300,2700,2500,1,20100,New South Wales,123,15.6,Greater Sydney,22800,1GSYD,Sydney - Outer South West,Technicians and Trades Workers
187,20800,4300,3600,1,20100,New South Wales,124,14.8,Greater Sydney,24400,1GSYD,Sydney - Outer West and Blue Mountains,Technicians and Trades Workers
195,25400,4100,1800,1,23100,New South Wales,125,11.5,Greater Sydney,27200,1GSYD,Sydney - Parramatta,Technicians and Trades Workers
203,6300,2200,2900,1,7100,New South Wales,126,8,Greater Sydney,9300,1GSYD,Sydney - Ryde,Technicians and Trades Workers
211,25400,5100,3900,1,24200,New South Wales,127,14.9,Greater Sydney,29300,1GSYD,Sydney - South West,Technicians and Trades Workers
219,12100,1200,1200,1,12200,New South Wales,128,10.7,Greater Sydney,13400,1GSYD,Sydney - Sutherland,Technicians and Trades Workers
227,11300,1100,1100,2,11300,Victoria,201,15.4,Rest of Vic.,12400,2RVIC,Ballarat,Technicians and Trades Workers
235,8700,2000,1900,2,8600,Victoria,202,13.7,Rest of Vic.,10600,2RVIC,Bendigo,Technicians and Trades Workers
243,22000,4600,3300,2,20700,Victoria,203,15.9,Rest of Vic.,25200,2RVIC,Geelong,Technicians and Trades Workers
251,14100,2800,1900,2,13200,Victoria,204,16.8,Rest of Vic.,16000,2RVIC,Hume,Technicians and Trades Workers
259,19300,5800,5700,2,19200,Victoria,205,20.3,Rest of Vic.,25000,2RVIC,Latrobe - Gippsland,Technicians and Trades Workers
267,27600,8800,8400,2,27200,Victoria,206,8.1,Greater Melbourne,36000,2GMEL,Melbourne - Inner,Technicians and Trades Workers
275,13800,3500,3100,2,13500,Victoria,207,8,Greater Melbourne,16900,2GMEL,Melbourne - Inner East,Technicians and Trades Workers
283,18200,3900,4200,2,18600,Victoria,208,9.9,Greater Melbourne,22500,2GMEL,Melbourne - Inner South,Technicians and Trades Workers
291,34000,10300,9500,2,33200,Victoria,209,15.5,Greater Melbourne,43500,2GMEL,Melbourne - North East,Technicians and Trades Workers
299,27400,7000,3200,2,23600,Victoria,210,16.2,Greater Melbourne,30600,2GMEL,Melbourne - North West,Technicians and Trades Workers
307,36600,6300,5500,2,35800,Victoria,211,15.9,Greater Melbourne,42100,2GMEL,Melbourne - Outer East,Technicians and Trades Workers
315,59300,12100,10300,2,57500,Victoria,212,16.3,Greater Melbourne,69600,2GMEL,Melbourne - South East,Technicians and Trades Workers
323,44300,8200,8300,2,44400,Victoria,213,13.1,Greater Melbourne,52600,2GMEL,Melbourne - West,Technicians and Trades Workers
331,22800,5300,4000,2,21400,Victoria,214,17.2,Greater Melbourne,26800,2GMEL,Mornington Peninsula,Technicians and Trades Workers
339,8200,1500,1200,2,7900,Victoria,215,13.5,Rest of Vic.,9400,2RVIC,North West,Technicians and Trades Workers
347,8000,2100,3000,2,8900,Victoria,216,18.3,Rest of Vic.,11100,2RVIC,Shepparton,Technicians and Trades Workers
355,6500,1100,1800,2,7200,Victoria,217,12.8,Rest of Vic.,8300,2RVIC,Warrnambool and South West,Technicians and Trades Workers
363,15900,2000,1700,3,15600,Queensland,301,14.6,Greater Brisbane,17600,3GBRI,Brisbane - East,Technicians and Trades Workers
371,9900,1800,3800,3,12000,Queensland,302,11.8,Greater Brisbane,13700,3GBRI,Brisbane - North,Technicians and Trades Workers
379,19600,5000,4600,3,19200,Queensland,303,12.3,Greater Brisbane,24200,3GBRI,Brisbane - South,Technicians and Trades Workers
