fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
387,6100,1000,1500,3,6600,Queensland,304,7.9,Greater Brisbane,7600,3GBRI,Brisbane - West,Technicians and Trades Workers
395,15800,1300,3200,3,17800,Queensland,306,14.5,Rest of Qld,19000,3RQLD,Cairns,Technicians and Trades Workers
403,8400,1100,1500,3,8900,Queensland,307,15.4,Rest of Qld,9900,3RQLD,Darling Downs - Maranoa,Technicians and Trades Workers
411,20500,2100,2700,3,21100,Queensland,308,19.9,Rest of Qld,23100,3RQLD,Central Queensland,Technicians and Trades Workers
419,37200,7500,8800,3,38500,Queensland,309,14.2,Rest of Qld,46000,3RQLD,Gold Coast,Technicians and Trades Workers
427,18500,2800,5400,3,21000,Queensland,310,14,Greater Brisbane,23800,3GBRI,Ipswich,Technicians and Trades Workers
435,23700,3500,5800,3,26000,Queensland,311,19,Greater Brisbane,29500,3GBRI,Logan - Beaudesert,Technicians and Trades Workers
443,19800,2900,2300,3,19200,Queensland,312,23.2,Rest of Qld,22100,3RQLD,Mackay - Isaac - Whitsunday,Technicians and Trades Workers
451,12900,1700,1500,3,12700,Queensland,313,13.8,Greater Brisbane,14400,3GBRI,Moreton Bay - North,Technicians and Trades Workers
459,11900,2500,2300,3,11700,Queensland,314,12.9,Greater Brisbane,14200,3GBRI,Moreton Bay - South,Technicians and Trades Workers
467,3700,600,300,3,3400,Queensland,315,10.1,Rest of Qld,4000,3RQLD,Queensland - Outback,Technicians and Trades Workers
475,23000,6500,5200,3,21600,Queensland,316,15.7,Rest of Qld,28100,3RQLD,Sunshine Coast,Technicians and Trades Workers
483,11200,1400,1900,3,11700,Queensland,317,17.5,Rest of Qld,13100,3RQLD,Toowoomba,Technicians and Trades Workers
491,13600,2000,1900,3,13500,Queensland,318,13.8,Rest of Qld,15500,3RQLD,Townsville,Technicians and Trades Workers
499,11400,2300,2800,3,11800,Queensland,319,12.9,Rest of Qld,14100,3RQLD,Wide Bay,Technicians and Trades Workers
507,13800,3600,3800,4,14000,South Australia,401,10.8,Greater Adelaide,17600,4GADE,Adelaide - Central and Hills,Technicians and Trades Workers
515,29100,5300,4000,4,27800,South Australia,402,16.5,Greater Adelaide,33100,4GADE,Adelaide - North,Technicians and Trades Workers
523,21800,5400,4100,4,20500,South Australia,403,14.3,Greater Adelaide,25900,4GADE,Adelaide - South,Technicians and Trades Workers
531,12400,2400,2400,4,12300,South Australia,404,12.5,Greater Adelaide,14800,4GADE,Adelaide - West,Technicians and Trades Workers
539,7000,1000,900,4,6900,South Australia,405,15.3,Rest of SA,7900,4RSAU,Barossa - Yorke - Mid North,Technicians and Trades Workers
547,5700,1100,900,4,5500,South Australia,406,16.8,Rest of SA,6600,4RSAU,South Australia - Outback,Technicians and Trades Workers
555,10400,2800,1900,4,9400,South Australia,407,14.1,Rest of SA,12300,4RSAU,South Australia - South East,Technicians and Trades Workers
563,15200,1500,2700,5,16400,Western Australia,501,19.3,Rest of WA,17900,5RWAU,Bunbury,Technicians and Trades Workers
571,8600,2000,1700,5,8300,Western Australia,502,24.9,Greater Perth,10300,5GPER,Mandurah,Technicians and Trades Workers
579,7600,2200,1600,5,6900,Western Australia,503,9,Greater Perth,9200,5GPER,Perth - Inner,Technicians and Trades Workers
587,19600,2500,4100,5,21200,Western Australia,504,16.6,Greater Perth,23700,5GPER,Perth - North East,Technicians and Trades Workers
595,38000,7000,8200,5,39300,Western Australia,505,15.3,Greater Perth,46200,5GPER,Perth - North West,Technicians and Trades Workers
603,35300,8100,6900,5,34100,Western Australia,506,15.6,Greater Perth,42100,5GPER,Perth - South East,Technicians and Trades Workers
611,31200,5400,6800,5,32600,Western Australia,507,17.3,Greater Perth,38000,5GPER,Perth - South West,Technicians and Trades Workers
619,7800,1700,1700,5,7800,Western Australia,509,13.4,Rest of WA,9500,5RWAU,Western Australia - Wheat Belt,Technicians and Trades Workers
627,13200,3500,2400,6,12000,Tasmania,601,13.3,Greater Hobart,15600,6GHOB,Hobart,Technicians and Trades Workers
635,7400,2200,2000,6,7200,Tasmania,602,13.5,Rest of Tas.,9400,6RTAS,Launceston and North East,Technicians and Trades Workers
643,2400,1100,500,6,1800,Tasmania,603,15.8,Rest of Tas.,2800,6RTAS,South East,Technicians and Trades Workers
651,5900,800,1000,6,6100,Tasmania,604,14.3,Rest of Tas.,6900,6RTAS,West and North West,Technicians and Trades Workers
659,11400,1300,1400,7,11500,Northern Territory,701,15.6,Greater Darwin,12800,7GDAR,Darwin,Technicians and Trades Workers
667,4800,1000,900,7,4700,Northern Territory,702,11.6,Rest of NT,5700,7RNTE,Northern Territory - Outback,Technicians and Trades Workers
