fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
4,3200,5700,6700,1,4200,New South Wales,101,8.9,Rest of NSW,9900,1RNSW,Capital Region,Community and Personal Service Workers
12,5900,12200,15000,1,8600,New South Wales,102,13.3,Greater Sydney,20800,1GSYD,Central Coast,Community and Personal Service Workers
20,2800,6400,8800,1,5200,New South Wales,103,10.4,Rest of NSW,11600,1RNSW,Central West,Community and Personal Service Workers
28,1500,2500,4100,1,3100,New South Wales,104,10.4,Rest of NSW,5500,1RNSW,Coffs Harbour - Grafton,Community and Personal Service Workers
36,3400,3100,4400,1,4600,New South Wales,105,14.2,Rest of NSW,7800,1RNSW,Far West and Orana,Community and Personal Service Workers
44,3700,9700,13500,1,7600,New South Wales,106,13.3,Rest of NSW,17300,1RNSW,Hunter Valley exc Newcastle,Community and Personal Service Workers
52,6600,11500,12500,1,7600,New South Wales,107,12.6,Rest of NSW,19100,1RNSW,Illawarra,Community and Personal Service Workers
60,2600,7500,8200,1,3300,New South Wales,108,12.8,Rest of NSW,10800,1RNSW,Mid North Coast,Community and Personal Service Workers
68,1500,4500,5400,1,2400,New South Wales,109,12.3,Rest of NSW,6900,1RNSW,Murray,Community and Personal Service Workers
76,3500,6400,8200,1,5300,New South Wales,110,13.7,Rest of NSW,11700,1RNSW,New England and North West,Community and Personal Service Workers
84,5800,8500,12400,1,9800,New South Wales,111,10,Rest of NSW,18200,1RNSW,Newcastle and Lake Macquarie,Community and Personal Service Workers
92,3000,8400,10100,1,4800,New South Wales,112,11.3,Rest of NSW,13200,1RNSW,Richmond - Tweed,Community and Personal Service Workers
100,1400,4500,8100,1,5100,New South Wales,113,11.7,Rest of NSW,9500,1RNSW,Riverina,Community and Personal Service Workers
108,1400,3400,4900,1,2900,New South Wales,114,10.2,Rest of NSW,6300,1RNSW,Southern Highlands and Shoalhaven,Community and Personal Service Workers
116,2800,5600,6300,1,3600,New South Wales,115,6.9,Greater Sydney,9200,1GSYD,Sydney - Baulkham Hills and Hawkesbury,Community and Personal Service Workers
124,5700,8500,13400,1,10600,New South Wales,116,10.1,Greater Sydney,19100,1GSYD,Sydney - Blacktown,Community and Personal Service Workers
132,8500,9300,10900,1,10100,New South Wales,117,8.2,Greater Sydney,19400,1GSYD,Sydney - City and Inner South,Community and Personal Service Workers
140,5200,6600,6800,1,5400,New South Wales,118,6.9,Greater Sydney,12000,1GSYD,Sydney - Eastern Suburbs,Community and Personal Service Workers
148,11900,15300,20000,1,16600,New South Wales,119,10.6,Greater Sydney,31900,1GSYD,Sydney - Inner South West,Community and Personal Service Workers
156,5600,9600,9400,1,5500,New South Wales,120,8.2,Greater Sydney,15000,1GSYD,Sydney - Inner West,Community and Personal Service Workers
164,7800,9500,8600,1,6900,New South Wales,121,6.8,Greater Sydney,16400,1GSYD,Sydney - North Sydney and Hornsby,Community and Personal Service Workers
172,5800,7800,9500,1,7500,New South Wales,122,10.2,Greater Sydney,15200,1GSYD,Sydney - Northern Beaches,Community and Personal Service Workers
180,4100,9000,12100,1,7300,New South Wales,123,11.1,Greater Sydney,16300,1GSYD,Sydney - Outer South West,Community and Personal Service Workers
188,5300,10200,12600,1,7700,New South Wales,124,10.9,Greater Sydney,17900,1GSYD,Sydney - Outer West and Blue Mountains,Community and Personal Service Workers
196,5800,8900,12400,1,9300,New South Wales,125,7.7,Greater Sydney,18300,1GSYD,Sydney - Parramatta,Community and Personal Service Workers
204,3300,5500,4800,1,2600,New South Wales,126,6.9,Greater Sydney,8100,1GSYD,Sydney - Ryde,Community and Personal Service Workers
212,6300,7400,11300,1,10200,New South Wales,127,9,Greater Sydney,17700,1GSYD,Sydney - South West,Community and Personal Service Workers
220,6500,9200,10500,1,7700,New South Wales,128,13.5,Greater Sydney,16900,1GSYD,Sydney - Sutherland,Community and Personal Service Workers
228,2400,5400,6900,2,4000,Victoria,201,11.6,Rest of Vic.,9300,2RVIC,Ballarat,Community and Personal Service Workers
236,3000,5900,6700,2,3700,Victoria,202,12.4,Rest of Vic.,9600,2RVIC,Bendigo,Community and Personal Service Workers
244,3900,8700,10800,2,6000,Victoria,203,9.3,Rest of Vic.,14800,2RVIC,Geelong,Community and Personal Service Workers
252,2300,4700,7100,2,4700,Victoria,204,9.9,Rest of Vic.,9400,2RVIC,Hume,Community and Personal Service Workers
260,3600,5600,5700,2,3800,Victoria,205,7.6,Rest of Vic.,9400,2RVIC,Latrobe - Gippsland,Community and Personal Service Workers
268,14500,18900,21500,2,17200,Victoria,206,8.1,Greater Melbourne,36100,2GMEL,Melbourne - Inner,Community and Personal Service Workers
276,4200,9700,9500,2,4000,Victoria,207,6.5,Greater Melbourne,13700,2GMEL,Melbourne - Inner East,Community and Personal Service Workers
284,6700,12100,13400,2,8100,Victoria,208,8.9,Greater Melbourne,20100,2GMEL,Melbourne - Inner South,Community and Personal Service Workers
292,8200,12700,19800,2,15200,Victoria,209,10,Greater Melbourne,27900,2GMEL,Melbourne - North East,Community and Personal Service Workers
300,8400,11800,14200,2,10900,Victoria,210,12,Greater Melbourne,22600,2GMEL,Melbourne - North West,Community and Personal Service Workers
308,6600,15000,18200,2,9700,Victoria,211,9.4,Greater Melbourne,24800,2GMEL,Melbourne - Outer East,Community and Personal Service Workers
316,8200,18600,26900,2,16500,Victoria,212,8.2,Greater Melbourne,35100,2GMEL,Melbourne - South East,Community and Personal Service Workers
324,9700,18300,26400,2,17900,Victoria,213,9,Greater Melbourne,36100,2GMEL,Melbourne - West,Community and Personal Service Workers
332,3400,8900,11700,2,6200,Victoria,214,9.7,Greater Melbourne,15100,2GMEL,Mornington Peninsula,Community and Personal Service Workers
340,2800,3600,5700,2,4900,Victoria,215,12.2,Rest of Vic.,8500,2RVIC,North West,Community and Personal Service Workers
348,100,3600,5500,2,2000,Victoria,216,9.2,Rest of Vic.,5600,2RVIC,Shepparton,Community and Personal Service Workers
356,500,3500,4800,2,1800,Victoria,217,8.2,Rest of Vic.,5300,2RVIC,Warrnambool and South West,Community and Personal Service Workers
364,2400,6500,9700,3,5600,Queensland,301,10,Greater Brisbane,12100,3GBRI,Brisbane - East,Community and Personal Service Workers
372,5100,6700,7000,3,5400,Queensland,302,10.4,Greater Brisbane,12100,3GBRI,Brisbane - North,Community and Personal Service Workers
380,5200,8500,10100,3,6800,Queensland,303,7.7,Greater Brisbane,15300,3GBRI,Brisbane - South,Community and Personal Service Workers
388,2200,4200,5300,3,3300,Queensland,304,7.8,Greater Brisbane,7500,3GBRI,Brisbane - West,Community and Personal Service Workers
396,5100,7300,11200,3,9000,Queensland,306,12.5,Rest of Qld,16300,3RQLD,Cairns,Community and Personal Service Workers
404,1400,2600,5000,3,3800,Queensland,307,10,Rest of Qld,6400,3RQLD,Darling Downs - Maranoa,Community and Personal Service Workers
412,1600,5800,7700,3,3500,Queensland,308,8,Rest of Qld,9300,3RQLD,Central Queensland,Community and Personal Service Workers
420,12100,20900,25600,3,16800,Queensland,309,11.6,Rest of Qld,37700,3RQLD,Gold Coast,Community and Personal Service Workers
428,5100,9500,12800,3,8400,Queensland,310,10.5,Greater Brisbane,17900,3GBRI,Ipswich,Community and Personal Service Workers
436,2400,6500,10200,3,6000,Queensland,311,8,Greater Brisbane,12500,3GBRI,Logan - Beaudesert,Community and Personal Service Workers
444,900,4500,8200,3,4700,Queensland,312,9.7,Rest of Qld,9200,3RQLD,Mackay - Isaac - Whitsunday,Community and Personal Service Workers
452,3800,9500,11700,3,5900,Queensland,313,14.8,Greater Brisbane,15500,3GBRI,Moreton Bay - North,Community and Personal Service Workers
460,3200,7300,9900,3,5800,Queensland,314,11.9,Greater Brisbane,13100,3GBRI,Moreton Bay - South,Community and Personal Service Workers
468,1300,1400,2500,3,2400,Queensland,315,9.3,Rest of Qld,3700,3RQLD,Queensland - Outback,Community and Personal Service Workers
476,4600,14300,17100,3,7400,Queensland,316,12.2,Rest of Qld,21700,3RQLD,Sunshine Coast,Community and Personal Service Workers
484,1800,5200,7000,3,3500,Queensland,317,11.8,Rest of Qld,8800,3RQLD,Toowoomba,Community and Personal Service Workers
492,3800,8100,10000,3,5700,Queensland,318,12.2,Rest of Qld,13800,3RQLD,Townsville,Community and Personal Service Workers
500,7000,9600,10500,3,7900,Queensland,319,16,Rest of Qld,17500,3RQLD,Wide Bay,Community and Personal Service Workers
508,4700,9100,9400,4,5000,South Australia,401,8.6,Greater Adelaide,14100,4GADE,Adelaide - Central and Hills,Community and Personal Service Workers
516,5900,12900,17300,4,10400,South Australia,402,11.6,Greater Adelaide,23300,4GADE,Adelaide - North,Community and Personal Service Workers
524,8300,16000,16600,4,8800,South Australia,403,13.7,Greater Adelaide,24800,4GADE,Adelaide - South,Community and Personal Service Workers
532,4000,9200,10400,4,5200,South Australia,404,12.2,Greater Adelaide,14400,4GADE,Adelaide - West,Community and Personal Service Workers
540,1100,4600,5300,4,1700,South Australia,405,12.2,Rest of SA,6300,4RSAU,Barossa - Yorke - Mid North,Community and Personal Service Workers
548,1500,3200,4400,4,2700,South Australia,406,15,Rest of SA,5900,4RSAU,South Australia - Outback,Community and Personal Service Workers
556,2100,5700,7800,4,4200,South Australia,407,11.2,Rest of SA,9800,4RSAU,South Australia - South East,Community and Personal Service Workers
564,2800,7300,9400,5,5000,Western Australia,501,13.2,Rest of WA,12200,5RWAU,Bunbury,Community and Personal Service Workers
572,1300,2400,2600,5,1500,Western Australia,502,9.7,Greater Perth,4000,5GPER,Mandurah,Community and Personal Service Workers
580,2200,4700,5500,5,3000,Western Australia,503,7.6,Greater Perth,7700,5GPER,Perth - Inner,Community and Personal Service Workers
588,4900,9100,12500,5,8300,Western Australia,504,12.2,Greater Perth,17400,5GPER,Perth - North East,Community and Personal Service Workers
596,9800,18700,22900,5,14000,Western Australia,505,10.8,Greater Perth,32700,5GPER,Perth - North West,Community and Personal Service Workers
604,8400,16300,19000,5,11100,Western Australia,506,10.2,Greater Perth,27400,5GPER,Perth - South East,Community and Personal Service Workers
612,6800,10600,13500,5,9700,Western Australia,507,9.2,Greater Perth,20300,5GPER,Perth - South West,Community and Personal Service Workers
620,1800,3500,4600,5,2900,Western Australia,509,9.2,Rest of WA,6500,5RWAU,Western Australia - Wheat Belt,Community and Personal Service Workers
628,4600,8500,9000,6,5100,Tasmania,601,11.6,Greater Hobart,13600,6GHOB,Hobart,Community and Personal Service Workers
636,2800,5100,6200,6,3900,Tasmania,602,12.9,Rest of Tas.,9000,6RTAS,Launceston and North East,Community and Personal Service Workers
644,500,1400,1600,6,700,Tasmania,603,11.9,Rest of Tas.,2100,6RTAS,South East,Community and Personal Service Workers
652,1500,3400,4800,6,2900,Tasmania,604,13,Rest of Tas.,6300,6RTAS,West and North West,Community and Personal Service Workers
660,4500,3700,6400,7,7200,Northern Territory,701,13.3,Greater Darwin,10900,7GDAR,Darwin,Community and Personal Service Workers
668,3900,4500,5600,7,5000,Northern Territory,702,19.3,Rest of NT,9500,7RNTE,Northern Territory - Outback,Community and Personal Service Workers
