fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
6,4400,5500,5700,1,4700,New South Wales,101,9.2,Rest of NSW,10200,1RNSW,Capital Region,Sales Workers
14,4900,7800,7800,1,4900,New South Wales,102,8.1,Greater Sydney,12700,1GSYD,Central Coast,Sales Workers
22,3300,4400,4400,1,3300,New South Wales,103,6.9,Rest of NSW,7700,1RNSW,Central West,Sales Workers
30,1300,1800,2100,1,1600,New South Wales,104,6.4,Rest of NSW,3400,1RNSW,Coffs Harbour - Grafton,Sales Workers
38,1600,1900,2700,1,2400,New South Wales,105,7.8,Rest of NSW,4300,1RNSW,Far West and Orana,Sales Workers
46,2500,7400,8100,1,3200,New South Wales,106,8.1,Rest of NSW,10600,1RNSW,Hunter Valley exc Newcastle,Sales Workers
54,5700,6800,7200,1,6100,New South Wales,107,8.5,Rest of NSW,12900,1RNSW,Illawarra,Sales Workers
62,2700,5300,5600,1,3000,New South Wales,108,9.9,Rest of NSW,8300,1RNSW,Mid North Coast,Sales Workers
70,1200,3500,4300,1,2100,New South Wales,109,10,Rest of NSW,5600,1RNSW,Murray,Sales Workers
78,3000,2600,3300,1,3700,New South Wales,110,7.4,Rest of NSW,6300,1RNSW,New England and North West,Sales Workers
86,6500,13200,14800,1,8100,New South Wales,111,11.7,Rest of NSW,21200,1RNSW,Newcastle and Lake Macquarie,Sales Workers
94,5800,7600,6500,1,4800,New South Wales,112,10.5,Rest of NSW,12300,1RNSW,Richmond - Tweed,Sales Workers
102,1500,2700,3300,1,2100,New South Wales,113,5.9,Rest of NSW,4800,1RNSW,Riverina,Sales Workers
110,400,2100,3100,1,1400,New South Wales,114,5.7,Rest of NSW,3500,1RNSW,Southern Highlands and Shoalhaven,Sales Workers
118,3000,5400,6200,1,3800,New South Wales,115,6.9,Greater Sydney,9200,1GSYD,Sydney - Baulkham Hills and Hawkesbury,Sales Workers
126,5100,8400,8300,1,5000,New South Wales,116,7.1,Greater Sydney,13400,1GSYD,Sydney - Blacktown,Sales Workers
134,6600,5700,6800,1,7700,New South Wales,117,5.6,Greater Sydney,13400,1GSYD,Sydney - City and Inner South,Sales Workers
142,5000,4500,6100,1,6500,New South Wales,118,6.4,Greater Sydney,11100,1GSYD,Sydney - Eastern Suburbs,Sales Workers
