fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
218,14400,9400,22500,1,27500,New South Wales,128,29.5,Greater Sydney,36900,1GSYD,Sydney - Sutherland,Professionals
226,5600,6000,10000,2,9600,Victoria,201,19.4,Rest of Vic.,15600,2RVIC,Ballarat,Professionals
234,7500,6700,10800,2,11600,Victoria,202,23.6,Rest of Vic.,18300,2RVIC,Bendigo,Professionals
242,17700,16100,26400,2,27900,Victoria,203,27.7,Rest of Vic.,44000,2RVIC,Geelong,Professionals
250,4600,7300,13100,2,10400,Victoria,204,18.6,Rest of Vic.,17700,2RVIC,Hume,Professionals
258,5200,5800,13800,2,13200,Victoria,205,15.4,Rest of Vic.,19000,2RVIC,Latrobe - Gippsland,Professionals
266,97900,38800,102600,2,161700,Victoria,206,44.9,Greater Melbourne,200500,2GMEL,Melbourne - Inner,Professionals
274,45500,22200,44200,2,67500,Victoria,207,42.5,Greater Melbourne,89700,2GMEL,Melbourne - Inner East,Professionals
282,30000,21300,42400,2,51100,Victoria,208,31.9,Greater Melbourne,72400,2GMEL,Melbourne - Inner South,Professionals
290,38900,24800,42200,2,56300,Victoria,209,28.9,Greater Melbourne,81100,2GMEL,Melbourne - North East,Professionals
298,14200,8000,21200,2,27400,Victoria,210,18.8,Greater Melbourne,35500,2GMEL,Melbourne - North West,Professionals
306,33600,21200,38000,2,50400,Victoria,211,27,Greater Melbourne,71600,2GMEL,Melbourne - Outer East,Professionals
314,46500,26600,52700,2,72600,Victoria,212,23.2,Greater Melbourne,99200,2GMEL,Melbourne - South East,Professionals
322,46700,18300,42300,2,70700,Victoria,213,22.2,Greater Melbourne,89000,2GMEL,Melbourne - West,Professionals
330,8700,10100,22200,2,20800,Victoria,214,19.9,Greater Melbourne,30900,2GMEL,Mornington Peninsula,Professionals
338,4300,4700,6800,2,6400,Victoria,215,15.9,Rest of Vic.,11000,2RVIC,North West,Professionals
346,2200,2500,5700,2,5400,Victoria,216,13,Rest of Vic.,7900,2RVIC,Shepparton,Professionals
354,3700,3500,6600,2,6700,Victoria,217,15.8,Rest of Vic.,10300,2RVIC,Warrnambool and South West,Professionals
362,10000,6100,16700,3,20500,Queensland,301,22.1,Greater Brisbane,26700,3GBRI,Brisbane - East,Professionals
370,12700,8100,19800,3,24500,Queensland,302,28.1,Greater Brisbane,32600,3GBRI,Brisbane - North,Professionals
378,25900,15200,36000,3,46700,Queensland,303,31.3,Greater Brisbane,61900,3GBRI,Brisbane - South,Professionals
386,19800,12200,21300,3,28900,Queensland,304,42.6,Greater Brisbane,41100,3GBRI,Brisbane - West,Professionals
394,8800,5600,11800,3,15100,Queensland,306,15.8,Rest of Qld,20600,3RQLD,Cairns,Professionals
402,1700,2500,5900,3,5100,Queensland,307,11.9,Rest of Qld,7600,3RQLD,Darling Downs - Maranoa,Professionals
410,3700,4100,14400,3,14000,Queensland,308,15.6,Rest of Qld,18100,3RQLD,Central Queensland,Professionals
418,33900,21500,39400,3,51800,Queensland,309,22.6,Rest of Qld,73300,3RQLD,Gold Coast,Professionals
426,13000,9300,18700,3,22500,Queensland,310,18.6,Greater Brisbane,31700,3GBRI,Ipswich,Professionals
434,7400,5200,13100,3,15400,Queensland,311,13.3,Greater Brisbane,20600,3GBRI,Logan - Beaudesert,Professionals
442,6100,4600,8500,3,10000,Queensland,312,15.4,Rest of Qld,14600,3RQLD,Mackay - Isaac - Whitsunday,Professionals
450,5600,3900,9600,3,11300,Queensland,313,14.7,Greater Brisbane,15300,3GBRI,Moreton Bay - North,Professionals
458,12300,8500,12000,3,15800,Queensland,314,22.2,Greater Brisbane,24300,3GBRI,Moreton Bay - South,Professionals
466,1200,200,1600,3,2600,Queensland,315,7.1,Rest of Qld,2800,3RQLD,Queensland - Outback,Professionals
474,18600,17000,26000,3,27600,Queensland,316,25,Rest of Qld,44600,3RQLD,Sunshine Coast,Professionals
482,6300,5400,9800,3,10700,Queensland,317,21.5,Rest of Qld,16100,3RQLD,Toowoomba,Professionals
490,6500,4800,10800,3,12500,Queensland,318,15.4,Rest of Qld,17300,3RQLD,Townsville,Professionals
498,5400,4600,10100,3,10900,Queensland,319,14.2,Rest of Qld,15600,3RQLD,Wide Bay,Professionals
506,24000,18400,31100,4,36700,South Australia,401,33.7,Greater Adelaide,55000,4GADE,Adelaide - Central and Hills,Professionals
514,14000,8800,18300,4,23500,South Australia,402,16.1,Greater Adelaide,32300,4GADE,Adelaide - North,Professionals
522,18500,12800,23600,4,29300,South Australia,403,23.4,Greater Adelaide,42200,4GADE,Adelaide - South,Professionals
530,11200,6900,14900,4,19200,South Australia,404,22.2,Greater Adelaide,26200,4GADE,Adelaide - West,Professionals
538,2600,2700,5300,4,5100,South Australia,405,15.3,Rest of SA,7900,4RSAU,Barossa - Yorke - Mid North,Professionals
546,2000,1200,2900,4,3700,South Australia,406,12.4,Rest of SA,4900,4RSAU,South Australia - Outback,Professionals
554,4200,3100,7300,4,8400,South Australia,407,13.2,Rest of SA,11500,4RSAU,South Australia - South East,Professionals
562,3700,4300,9400,5,8800,Western Australia,501,14,Rest of WA,13000,5RWAU,Bunbury,Professionals
570,2300,3200,4900,5,4100,Western Australia,502,17.7,Greater Perth,7300,5GPER,Mandurah,Professionals
578,23300,11400,22300,5,34200,Western Australia,503,44.7,Greater Perth,45600,5GPER,Perth - Inner,Professionals
586,13600,8600,17000,5,22100,Western Australia,504,21.5,Greater Perth,30700,5GPER,Perth - North East,Professionals
594,32100,22200,38200,5,48100,Western Australia,505,23.3,Greater Perth,70300,5GPER,Perth - North West,Professionals
602,28200,15800,34300,5,46600,Western Australia,506,23.2,Greater Perth,62500,5GPER,Perth - South East,Professionals
610,25100,16400,33100,5,41800,Western Australia,507,26.4,Greater Perth,58200,5GPER,Perth - South West,Professionals
618,3500,3500,6500,5,6500,Western Australia,509,14,Rest of WA,9900,5RWAU,Western Australia - Wheat Belt,Professionals
626,13500,11100,16800,6,19200,Tasmania,601,25.9,Greater Hobart,30300,6GHOB,Hobart,Professionals
634,4800,3800,8200,6,9300,Tasmania,602,18.8,Rest of Tas.,13100,6RTAS,Launceston and North East,Professionals
642,1300,1600,2000,6,1800,Tasmania,603,18.6,Rest of Tas.,3300,6RTAS,South East,Professionals
650,3000,3000,4900,6,4900,Tasmania,604,16.4,Rest of Tas.,7900,6RTAS,West and North West,Professionals
658,7300,3200,11100,7,15200,Northern Territory,701,22.5,Greater Darwin,18400,7GDAR,Darwin,Professionals
666,4600,2100,7300,7,9800,Northern Territory,702,24.1,Rest of NT,11900,7RNTE,Northern Territory - Outback,Professionals
