fid, empy_m, empy_pt, empy_f, state_code_2016, empy_ft, state_name_2016, sa4_code_2016, mpy_distribution, gccsa_name_2016, mpy_by_occ_tot, gccsa_code_2016, sa4_name_2016, occ
2,11800,4100,12800,1,20500,New South Wales,101,22.1,Rest of NSW,24600,1RNSW,Capital Region,Professionals
10,13900,9700,17000,1,21200,New South Wales,102,19.7,Greater Sydney,30800,1GSYD,Central Coast,Professionals
18,8600,5800,14000,1,16800,New South Wales,103,20.3,Rest of NSW,22600,1RNSW,Central West,Professionals
26,3900,3600,6300,1,6600,New South Wales,104,19.2,Rest of NSW,10200,1RNSW,Coffs Harbour - Grafton,Professionals
34,3500,2700,5900,1,6800,New South Wales,105,17.1,Rest of NSW,9400,1RNSW,Far West and Orana,Professionals
42,9500,5100,11000,1,15400,New South Wales,106,15.7,Rest of NSW,20500,1RNSW,Hunter Valley exc Newcastle,Professionals
50,16600,11800,21200,1,26000,New South Wales,107,24.9,Rest of NSW,37800,1RNSW,Illawarra,Professionals
58,5200,5300,10200,1,10100,New South Wales,108,18.3,Rest of NSW,15400,1RNSW,Mid North Coast,Professionals
66,2300,1900,5600,1,6000,New South Wales,109,14.1,Rest of NSW,7900,1RNSW,Murray,Professionals
74,3200,3500,8100,1,7800,New South Wales,110,13.2,Rest of NSW,11300,1RNSW,New England and North West,Professionals
82,20000,14900,30400,1,35500,New South Wales,111,27.7,Rest of NSW,50400,1RNSW,Newcastle and Lake Macquarie,Professionals
90,9500,10500,15900,1,15000,New South Wales,112,21.8,Rest of NSW,25500,1RNSW,Richmond - Tweed,Professionals
98,3600,2700,9800,1,10600,New South Wales,113,16.4,Rest of NSW,13300,1RNSW,Riverina,Professionals
106,5200,4700,7200,1,7700,New South Wales,114,20.1,Rest of NSW,12400,1RNSW,Southern Highlands and Shoalhaven,Professionals
114,21700,8200,18500,1,32100,New South Wales,115,30.4,Greater Sydney,40300,1GSYD,Sydney - Baulkham Hills and Hawkesbury,Professionals
122,20900,7800,25600,1,38800,New South Wales,116,24.5,Greater Sydney,46500,1GSYD,Sydney - Blacktown,Professionals
130,52300,16500,50200,1,86000,New South Wales,117,43.1,Greater Sydney,102500,1GSYD,Sydney - City and Inner South,Professionals
138,34000,15300,35700,1,54500,New South Wales,118,40.3,Greater Sydney,69800,1GSYD,Sydney - Eastern Suburbs,Professionals
146,35100,14000,39100,1,60200,New South Wales,119,24.6,Greater Sydney,74200,1GSYD,Sydney - Inner South West,Professionals
154,34200,12100,28500,1,50600,New South Wales,120,34.1,Greater Sydney,62700,1GSYD,Sydney - Inner West,Professionals
162,53900,25500,51500,1,80000,New South Wales,121,43.7,Greater Sydney,105500,1GSYD,Sydney - North Sydney and Hornsby,Professionals
170,22200,13400,28200,1,37000,New South Wales,122,33.8,Greater Sydney,50400,1GSYD,Sydney - Northern Beaches,Professionals
178,11000,5300,16500,1,22300,New South Wales,123,18.8,Greater Sydney,27500,1GSYD,Sydney - Outer South West,Professionals
186,17800,8100,19900,1,29600,New South Wales,124,22.9,Greater Sydney,37700,1GSYD,Sydney - Outer West and Blue Mountains,Professionals
194,33700,9400,34500,1,58800,New South Wales,125,28.8,Greater Sydney,68200,1GSYD,Sydney - Parramatta,Professionals
202,22500,9400,22000,1,35100,New South Wales,126,38.1,Greater Sydney,44500,1GSYD,Sydney - Ryde,Professionals
210,13400,8500,20300,1,25300,New South Wales,127,17.2,Greater Sydney,33700,1GSYD,Sydney - South West,Professionals
