fid, sa4_code_2016, age_grp, sa4_name_2016, pop, pop_distribution, state_name_abbr
6,102,65 and over,Central Coast,85500,30.39999962,NSW
12,115,65 and over,Sydney - Baulkham Hills and Hawkesbury,39000,18.79999924,NSW
18,116,65 and over,Sydney - Blacktown,37500,12.39999962,NSW
24,117,65 and over,Sydney - City and Inner South,41900,12.39999962,NSW
30,118,65 and over,Sydney - Eastern Suburbs,41900,16.70000076,NSW
36,119,65 and over,Sydney - Inner South West,101400,19.70000076,NSW
42,120,65 and over,Sydney - Inner West,57100,20.70000076,NSW
48,121,65 and over,Sydney - North Sydney and Hornsby,75000,20.79999924,NSW
54,122,65 and over,Sydney - Northern Beaches,49500,22.39999962,NSW
60,123,65 and over,Sydney - Outer South West,36500,15.80000019,NSW
66,124,65 and over,Sydney - Outer West and Blue Mountains,48100,18.20000076,NSW
72,125,65 and over,Sydney - Parramatta,60600,14.89999962,NSW
78,126,65 and over,Sydney - Ryde,28700,16.5,NSW
84,127,65 and over,Sydney - South West,63900,17.39999962,NSW
90,128,65 and over,Sydney - Sutherland,35600,18.89999962,NSW
96,101,65 and over,Capital Region,47800,25.10000038,NSW
102,103,65 and over,Central West,38900,22.89999962,NSW
108,104,65 and over,Coffs Harbour - Grafton,37900,32.5,NSW
114,105,65 and over,Far West and Orana,23000,25.29999924,NSW
120,106,65 and over,Hunter Valley exc Newcastle,55200,24.20000076,NSW
126,107,65 and over,Illawarra,59000,22.60000038,NSW
132,108,65 and over,Mid North Coast,70300,37.40000153,NSW
138,109,65 and over,Murray,28200,28.39999962,NSW
144,110,65 and over,New England and North West,45700,30.89999962,NSW
150,111,65 and over,Newcastle and Lake Macquarie,67700,21.60000038,NSW
156,112,65 and over,Richmond - Tweed,60400,28.60000038,NSW
162,113,65 and over,Riverina,32600,25.60000038,NSW
168,114,65 and over,Southern Highlands and Shoalhaven,40300,30.70000076,NSW
174,206,65 and over,Melbourne - Inner,88400,14,VIC
180,207,65 and over,Melbourne - Inner East,59700,18,VIC
186,208,65 and over,Melbourne - Inner South,82700,22.60000038,VIC
192,209,65 and over,Melbourne - North East,94300,20.79999924,VIC
198,210,65 and over,Melbourne - North West,65900,19.39999962,VIC
204,211,65 and over,Melbourne - Outer East,98400,22.79999924,VIC
210,212,65 and over,Melbourne - South East,116300,16.5,VIC
216,213,65 and over,Melbourne - West,86800,12.80000019,VIC
222,214,65 and over,Mornington Peninsula,67200,26.79999924,VIC
228,201,65 and over,Ballarat,33300,24.20000076,VIC
234,202,65 and over,Bendigo,30300,22.79999924,VIC
240,203,65 and over,Geelong,54800,21.10000038,VIC
246,204,65 and over,Hume,32800,22.70000076,VIC
252,205,65 and over,Latrobe - Gippsland,80800,34.09999847,VIC
258,215,65 and over,North West,38300,31.39999962,VIC
264,216,65 and over,Shepparton,32100,29.89999962,VIC
270,217,65 and over,Warrnambool and South West,26400,26,VIC
276,301,65 and over,Brisbane - East,45700,23.20000076,QLD
282,302,65 and over,Brisbane - North,28600,15.30000019,QLD
288,303,65 and over,Brisbane - South,51300,16.29999924,QLD
294,304,65 and over,Brisbane - West,33200,21.20000076,QLD
300,305,65 and over,Brisbane Inner City,29500,11.30000019,QLD
306,310,65 and over,Ipswich,39000,13.5,QLD
312,311,65 and over,Logan - Beaudesert,46800,16.70000076,QLD
318,313,65 and over,Moreton Bay - North,71500,33.09999847,QLD
324,314,65 and over,Moreton Bay - South,28600,16.29999924,QLD
330,306,65 and over,Cairns,38800,18.89999962,QLD
336,307,65 and over,Darling Downs - Maranoa,22500,22.20000076,QLD
342,308,65 and over,Central Queensland,35800,20.10000038,QLD
348,309,65 and over,Gold Coast,102300,18.89999962,QLD
354,312,65 and over,Mackay - Isaac - Whitsunday,26100,18.79999924,QLD
360,315,65 and over,Queensland - Outback,11000,17.5,QLD
366,316,65 and over,Sunshine Coast,95300,28.89999962,QLD
372,317,65 and over,Toowoomba,35800,27.89999962,QLD
378,318,65 and over,Townsville,39300,20.89999962,QLD
384,319,65 and over,Wide Bay,85000,33.79999924,QLD
390,401,65 and over,Adelaide - Central and Hills,63900,24.5,SA
396,402,65 and over,Adelaide - North,74900,20.89999962,SA
402,403,65 and over,Adelaide - South,70200,22.60000038,SA
408,404,65 and over,Adelaide - West,45500,22.10000038,SA
414,405,65 and over,Barossa - Yorke - Mid North,27900,29.39999962,SA
420,406,65 and over,South Australia - Outback,12700,19,SA
426,407,65 and over,South Australia - South East,53700,33,SA
432,502,65 and over,Mandurah,33600,38.59999847,WA
438,503,65 and over,Perth - Inner,34500,21.60000038,WA
444,504,65 and over,Perth - North East,48200,21.5,WA
450,505,65 and over,Perth - North West,90000,19.20000076,WA
456,506,65 and over,Perth - South East,65300,15.10000038,WA
462,507,65 and over,Perth - South West,61800,17.20000076,WA
468,501,65 and over,Bunbury,36100,24.10000038,WA
474,509,65 and over,Western Australia - Wheat Belt,30300,27.10000038,WA
480,601,65 and over,Hobart,45700,23.20000076,TAS
486,602,65 and over,Launceston and North East,31100,25.29999924,TAS
492,603,65 and over,South East,10300,30.20000076,TAS
498,604,65 and over,West and North West,27300,29,TAS
504,701,65 and over,Darwin,14900,13.10000038,NT
510,702,65 and over,Northern Territory - Outback,7300,9.600000381,NT
