fid, gccsa_name_2016, state_code_2016, state_name_2016, sa4_code_2016, age_grp, sa4_name_2016, pop, gccsa_code_2016, pop_distribution
4,Rest of NSW,1,New South Wales,101,45 to 54,Capital Region,32800,1RNSW,17.4
10,Greater Sydney,1,New South Wales,102,45 to 54,Central Coast,40200,1GSYD,14.3
16,Rest of NSW,1,New South Wales,103,45 to 54,Central West,25900,1RNSW,15.2
22,Rest of NSW,1,New South Wales,104,45 to 54,Coffs Harbour - Grafton,17900,1RNSW,15.4
28,Rest of NSW,1,New South Wales,105,45 to 54,Far West and Orana,14300,1RNSW,15.6
34,Rest of NSW,1,New South Wales,106,45 to 54,Hunter Valley exc Newcastle,34700,1RNSW,15.5
40,Rest of NSW,1,New South Wales,107,45 to 54,Illawarra,44300,1RNSW,17.1
46,Rest of NSW,1,New South Wales,108,45 to 54,Mid North Coast,20000,1RNSW,10.7
52,Rest of NSW,1,New South Wales,109,45 to 54,Murray,16100,1RNSW,16.4
58,Rest of NSW,1,New South Wales,110,45 to 54,New England and North West,25500,1RNSW,17
64,Rest of NSW,1,New South Wales,111,45 to 54,Newcastle and Lake Macquarie,44000,1RNSW,14.2
70,Rest of NSW,1,New South Wales,112,45 to 54,Richmond - Tweed,31600,1RNSW,15.1
76,Rest of NSW,1,New South Wales,113,45 to 54,Riverina,22400,1RNSW,17.5
82,Rest of NSW,1,New South Wales,114,45 to 54,Southern Highlands and Shoalhaven,16600,1RNSW,12.8
88,Greater Sydney,1,New South Wales,115,45 to 54,Sydney - Baulkham Hills and Hawkesbury,37900,1GSYD,18.6
94,Greater Sydney,1,New South Wales,116,45 to 54,Sydney - Blacktown,46300,1GSYD,15.6
100,Greater Sydney,1,New South Wales,117,45 to 54,Sydney - City and Inner South,37000,1GSYD,10.9
106,Greater Sydney,1,New South Wales,118,45 to 54,Sydney - Eastern Suburbs,35500,1GSYD,14.2
112,Greater Sydney,1,New South Wales,119,45 to 54,Sydney - Inner South West,74100,1GSYD,14.3
118,Greater Sydney,1,New South Wales,120,45 to 54,Sydney - Inner West,45400,1GSYD,16.3
124,Greater Sydney,1,New South Wales,121,45 to 54,Sydney - North Sydney and Hornsby,62100,1GSYD,17.1
130,Greater Sydney,1,New South Wales,122,45 to 54,Sydney - Northern Beaches,43200,1GSYD,19.4
136,Greater Sydney,1,New South Wales,123,45 to 54,Sydney - Outer South West,33800,1GSYD,14.8
142,Greater Sydney,1,New South Wales,124,45 to 54,Sydney - Outer West and Blue Mountains,37900,1GSYD,14.5
148,Greater Sydney,1,New South Wales,125,45 to 54,Sydney - Parramatta,54000,1GSYD,13.2
154,Greater Sydney,1,New South Wales,126,45 to 54,Sydney - Ryde,27000,1GSYD,15.5
160,Greater Sydney,1,New South Wales,127,45 to 54,Sydney - South West,60100,1GSYD,16.5
166,Greater Sydney,1,New South Wales,128,45 to 54,Sydney - Sutherland,28300,1GSYD,15.2
172,Rest of Vic.,2,Victoria,201,45 to 54,Ballarat,20300,2RVIC,14.7
178,Rest of Vic.,2,Victoria,202,45 to 54,Bendigo,20800,2RVIC,15.5
