fid, gccsa_name_2016, state_code_2016, state_name_2016, sa4_code_2016, age_grp, sa4_name_2016, pop, gccsa_code_2016, pop_distribution
3,Rest of NSW,1,New South Wales,101,35 to 44,Capital Region,24400,1RNSW,13
9,Greater Sydney,1,New South Wales,102,35 to 44,Central Coast,38500,1GSYD,13.7
15,Rest of NSW,1,New South Wales,103,35 to 44,Central West,24800,1RNSW,14.5
21,Rest of NSW,1,New South Wales,104,35 to 44,Coffs Harbour - Grafton,14500,1RNSW,12.4
27,Rest of NSW,1,New South Wales,105,35 to 44,Far West and Orana,10000,1RNSW,10.9
33,Rest of NSW,1,New South Wales,106,35 to 44,Hunter Valley exc Newcastle,32300,1RNSW,14.4
39,Rest of NSW,1,New South Wales,107,35 to 44,Illawarra,43700,1RNSW,16.9
45,Rest of NSW,1,New South Wales,108,35 to 44,Mid North Coast,23900,1RNSW,12.8
51,Rest of NSW,1,New South Wales,109,35 to 44,Murray,14300,1RNSW,14.6
57,Rest of NSW,1,New South Wales,110,35 to 44,New England and North West,16600,1RNSW,11.1
63,Rest of NSW,1,New South Wales,111,35 to 44,Newcastle and Lake Macquarie,48600,1RNSW,15.7
69,Rest of NSW,1,New South Wales,112,35 to 44,Richmond - Tweed,26600,1RNSW,12.7
75,Rest of NSW,1,New South Wales,113,35 to 44,Riverina,16300,1RNSW,12.7
81,Rest of NSW,1,New South Wales,114,35 to 44,Southern Highlands and Shoalhaven,15100,1RNSW,11.7
87,Greater Sydney,1,New South Wales,115,35 to 44,Sydney - Baulkham Hills and Hawkesbury,35200,1GSYD,17.3
93,Greater Sydney,1,New South Wales,116,35 to 44,Sydney - Blacktown,66100,1GSYD,22.3
99,Greater Sydney,1,New South Wales,117,35 to 44,Sydney - City and Inner South,73100,1GSYD,21.6
105,Greater Sydney,1,New South Wales,118,35 to 44,Sydney - Eastern Suburbs,46100,1GSYD,18.4
111,Greater Sydney,1,New South Wales,119,35 to 44,Sydney - Inner South West,85000,1GSYD,16.5
117,Greater Sydney,1,New South Wales,120,35 to 44,Sydney - Inner West,46600,1GSYD,16.8
123,Greater Sydney,1,New South Wales,121,35 to 44,Sydney - North Sydney and Hornsby,68300,1GSYD,18.9
129,Greater Sydney,1,New South Wales,122,35 to 44,Sydney - Northern Beaches,34600,1GSYD,15.5
135,Greater Sydney,1,New South Wales,123,35 to 44,Sydney - Outer South West,39700,1GSYD,17.4
141,Greater Sydney,1,New South Wales,124,35 to 44,Sydney - Outer West and Blue Mountains,43300,1GSYD,16.5
147,Greater Sydney,1,New South Wales,125,35 to 44,Sydney - Parramatta,77000,1GSYD,18.8
153,Greater Sydney,1,New South Wales,126,35 to 44,Sydney - Ryde,29400,1GSYD,16.9
159,Greater Sydney,1,New South Wales,127,35 to 44,Sydney - South West,64700,1GSYD,17.7
165,Greater Sydney,1,New South Wales,128,35 to 44,Sydney - Sutherland,33400,1GSYD,17.9
171,Rest of Vic.,2,Victoria,201,35 to 44,Ballarat,24400,2RVIC,17.7
177,Rest of Vic.,2,Victoria,202,35 to 44,Bendigo,18400,2RVIC,13.7
183,Rest of Vic.,2,Victoria,203,35 to 44,Geelong,45700,2RVIC,17.7
189,Rest of Vic.,2,Victoria,204,35 to 44,Hume,18100,2RVIC,12.4
195,Rest of Vic.,2,Victoria,205,35 to 44,Latrobe - Gippsland,27300,2RVIC,11.5
201,Greater Melbourne,2,Victoria,206,35 to 44,Melbourne - Inner,118800,2GMEL,18.5
207,Greater Melbourne,2,Victoria,207,35 to 44,Melbourne - Inner East,58800,2GMEL,17.4
213,Greater Melbourne,2,Victoria,208,35 to 44,Melbourne - Inner South,60600,2GMEL,16.3
219,Greater Melbourne,2,Victoria,209,35 to 44,Melbourne - North East,75700,2GMEL,16.6
225,Greater Melbourne,2,Victoria,210,35 to 44,Melbourne - North West,49800,2GMEL,14.7
231,Greater Melbourne,2,Victoria,211,35 to 44,Melbourne - Outer East,70100,2GMEL,16
237,Greater Melbourne,2,Victoria,212,35 to 44,Melbourne - South East,121400,2GMEL,17.1
243,Greater Melbourne,2,Victoria,213,35 to 44,Melbourne - West,152500,2GMEL,22.4
249,Greater Melbourne,2,Victoria,214,35 to 44,Mornington Peninsula,40500,2GMEL,15.9
255,Rest of Vic.,2,Victoria,215,35 to 44,North West,18600,2RVIC,15
261,Rest of Vic.,2,Victoria,216,35 to 44,Shepparton,9600,2RVIC,8.8
267,Rest of Vic.,2,Victoria,217,35 to 44,Warrnambool and South West,10900,2RVIC,10.6
273,Greater Brisbane,3,Queensland,301,35 to 44,Brisbane - East,29900,3GBRI,15.2
279,Greater Brisbane,3,Queensland,302,35 to 44,Brisbane - North,36200,3GBRI,19.5
285,Greater Brisbane,3,Queensland,303,35 to 44,Brisbane - South,61200,3GBRI,19.6
291,Greater Brisbane,3,Queensland,304,35 to 44,Brisbane - West,26600,3GBRI,17
297,Rest of Qld,3,Queensland,306,35 to 44,Cairns,32500,3RQLD,15.9
303,Rest of Qld,3,Queensland,307,35 to 44,Darling Downs - Maranoa,14200,3RQLD,13.9
309,Rest of Qld,3,Queensland,308,35 to 44,Central Queensland,31900,3RQLD,17.9
315,Rest of Qld,3,Queensland,309,35 to 44,Gold Coast,86600,3RQLD,16.3
321,Greater Brisbane,3,Queensland,310,35 to 44,Ipswich,46600,3GBRI,16.3
327,Greater Brisbane,3,Queensland,311,35 to 44,Logan - Beaudesert,43400,3GBRI,15.8
333,Rest of Qld,3,Queensland,312,35 to 44,Mackay - Isaac - Whitsunday,29200,3RQLD,21.3
339,Greater Brisbane,3,Queensland,313,35 to 44,Moreton Bay - North,27700,3GBRI,13.1
345,Greater Brisbane,3,Queensland,314,35 to 44,Moreton Bay - South,31900,3GBRI,18.5
351,Rest of Qld,3,Queensland,315,35 to 44,Queensland - Outback,11000,3RQLD,17.5
357,Rest of Qld,3,Queensland,316,35 to 44,Sunshine Coast,42200,3RQLD,13
363,Rest of Qld,3,Queensland,317,35 to 44,Toowoomba,21200,3RQLD,16.6
369,Rest of Qld,3,Queensland,318,35 to 44,Townsville,28600,3RQLD,15.4
375,Rest of Qld,3,Queensland,319,35 to 44,Wide Bay,23600,3RQLD,9.5
381,Greater Adelaide,4,South Australia,401,35 to 44,Adelaide - Central and Hills,41600,4GADE,16.1
387,Greater Adelaide,4,South Australia,402,35 to 44,Adelaide - North,64700,4GADE,18.2
393,Greater Adelaide,4,South Australia,403,35 to 44,Adelaide - South,43600,4GADE,14.1
399,Greater Adelaide,4,South Australia,404,35 to 44,Adelaide - West,28400,4GADE,13.9
405,Rest of SA,4,South Australia,405,35 to 44,Barossa - Yorke - Mid North,13300,4RSAU,13.9
411,Rest of SA,4,South Australia,406,35 to 44,South Australia - Outback,10200,4RSAU,15
417,Rest of SA,4,South Australia,407,35 to 44,South Australia - South East,18200,4RSAU,11.2
423,Rest of WA,5,Western Australia,501,35 to 44,Bunbury,21900,5RWAU,14.7
429,Greater Perth,5,Western Australia,502,35 to 44,Mandurah,12300,5GPER,14.3
435,Greater Perth,5,Western Australia,503,35 to 44,Perth - Inner,29500,5GPER,18.8
441,Greater Perth,5,Western Australia,504,35 to 44,Perth - North East,39500,5GPER,17.8
447,Greater Perth,5,Western Australia,505,35 to 44,Perth - North West,80900,5GPER,17.4
453,Greater Perth,5,Western Australia,506,35 to 44,Perth - South East,83000,5GPER,19.4
459,Greater Perth,5,Western Australia,507,35 to 44,Perth - South West,54000,5GPER,15.2
465,Rest of WA,5,Western Australia,509,35 to 44,Western Australia - Wheat Belt,17400,5RWAU,15.5
471,Greater Hobart,6,Tasmania,601,35 to 44,Hobart,29500,6GHOB,15
477,Rest of Tas.,6,Tasmania,602,35 to 44,Launceston and North East,15700,6RTAS,12.9
483,Rest of Tas.,6,Tasmania,603,35 to 44,South East,4200,6RTAS,12.5
489,Rest of Tas.,6,Tasmania,604,35 to 44,West and North West,12800,6RTAS,13.7
495,Greater Darwin,7,Northern Territory,701,35 to 44,Darwin,22100,7GDAR,19.5
501,Rest of NT,7,Northern Territory,702,35 to 44,Northern Territory - Outback,14800,7RNTE,19.7
