fid, gccsa_name_2016, state_code_2016, state_name_2016, sa4_code_2016, age_grp, sa4_name_2016, pop, gccsa_code_2016, pop_distribution
5,Rest of NSW,1,New South Wales,101,55 to 64,Capital Region,32000,1RNSW,17
11,Greater Sydney,1,New South Wales,102,55 to 64,Central Coast,44500,1GSYD,15.9
17,Rest of NSW,1,New South Wales,103,55 to 64,Central West,27100,1RNSW,15.9
23,Rest of NSW,1,New South Wales,104,55 to 64,Coffs Harbour - Grafton,19700,1RNSW,16.9
29,Rest of NSW,1,New South Wales,105,55 to 64,Far West and Orana,16100,1RNSW,17.5
35,Rest of NSW,1,New South Wales,106,55 to 64,Hunter Valley exc Newcastle,33100,1RNSW,14.8
41,Rest of NSW,1,New South Wales,107,55 to 64,Illawarra,42700,1RNSW,16.5
47,Rest of NSW,1,New South Wales,108,55 to 64,Mid North Coast,34400,1RNSW,18.4
53,Rest of NSW,1,New South Wales,109,55 to 64,Murray,14700,1RNSW,15
59,Rest of NSW,1,New South Wales,110,55 to 64,New England and North West,32900,1RNSW,22
65,Rest of NSW,1,New South Wales,111,55 to 64,Newcastle and Lake Macquarie,47600,1RNSW,15.3
71,Rest of NSW,1,New South Wales,112,55 to 64,Richmond - Tweed,35100,1RNSW,16.8
77,Rest of NSW,1,New South Wales,113,55 to 64,Riverina,24800,1RNSW,19.3
83,Rest of NSW,1,New South Wales,114,55 to 64,Southern Highlands and Shoalhaven,18500,1RNSW,14.3
89,Greater Sydney,1,New South Wales,115,55 to 64,Sydney - Baulkham Hills and Hawkesbury,30600,1GSYD,15
95,Greater Sydney,1,New South Wales,116,55 to 64,Sydney - Blacktown,34000,1GSYD,11.5
101,Greater Sydney,1,New South Wales,117,55 to 64,Sydney - City and Inner South,34500,1GSYD,10.2
107,Greater Sydney,1,New South Wales,118,55 to 64,Sydney - Eastern Suburbs,25600,1GSYD,10.2
113,Greater Sydney,1,New South Wales,119,55 to 64,Sydney - Inner South West,63000,1GSYD,12.2
119,Greater Sydney,1,New South Wales,120,55 to 64,Sydney - Inner West,40500,1GSYD,14.6
125,Greater Sydney,1,New South Wales,121,55 to 64,Sydney - North Sydney and Hornsby,54500,1GSYD,15
